标题,价格,户型,面积,朝向,楼层,装修,种类,位置,标签,设施,概况,链接
蛇口 兰园小区 户型方正 使用率高 光线充足随看,1580元/月,4室1厅1卫,14平方米,朝西,中层(共18层),精装修,普通住宅,兰园小区 (南山蛇口),合租朝西2/9号线,超便宜！业主急租，装修精美，主卧独卫，拎包入住! ,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704350918008847?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPWbkPjNLnHEYPjmKTHDLnjE1PHTOnH9knj93Pj0KnHEQnjTKnHEQnjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHDKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn193rHmvnHmLP1NvrTDvTyGGmNI-rWKxnWNknTDQTHNvPAmduynYsHbYuyDVPjPBnidBnWKWsy7hnjDQnhcLn1RBnEDQn1DOPjD1rj9OP1bQPWbvrjbvTHD1nHbYnHn3rjbLnWT1rHnLnW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKn1RWnj-BmWDVnj--uaYYP176sH66PHmVPjwbujbkP1u-PjwbTEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKrHKbnvRhnvc3rH--ryuhnT&lego_tid=35c09bb1-09ed-471a-8a56-44dd9076e44d
海明阁 地铁旁 精装修 独立空间 适合上班族,1740元/月,4室1厅1卫,13平方米,朝南,中层(共8层),精装修,普通住宅,海明阁 (南山蛇口),合租朝南2/9号线,超便宜！业主急租，装修精美，主卧独卫，拎包入住! ,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704351370175502?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPWbkPjNLnHEYPjmKTHDLnjE1PHD1P1TQP1NdnjcKnHEQnjTKnHEQnjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHcKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQPjT1nWcknjbknjmkrTDvTyGGmNI-rWKxnWNknTDQTHEkrH-Wmyc1sHEvuWEVPju6uiYOmH0ksymLnAEQnymvuHIBuTDQn1DOPjDYnjnzn1DYnHEvrjDvTHD1nHbYnHEkn1czPj0kn10OPHnKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKPAndmvcYuHTVujbOnBYYmWKWsH91uW9VPycLuyNYuAuBPjK6TEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKuhEQPWbLPhckryEOuhEzPT&lego_tid=4c5cb4e0-d992-4b0c-83f8-5b7ee4dfb40a
真!! 兰园楼 精装单间  拎包入住 合同跟房东签 客户,1770元/月,4室1厅1卫,13平方米,朝东,低层(共9层),精装修,普通住宅,兰园商住楼 (南山蛇口),合租朝东2/9号线,超便宜！业主急租，装修精美，主卧独卫，拎包入住! ,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704350511408140?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPWbkPjNLnHEYPjmKTHDLnjE1PHTdnHDYnj9QPjTKnHEQnjTKnHEQnjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHnKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn103PHDQrjmYPWcLn9DvTyGGmNI-rWKxnWNknTDQTyEdnWKhnvuBsyFBmynVPjIhmBYOnH-6sHDdP1-6mvR6rjF6rEDQn1DOPjD1P19dnWc1PHTLrHm3THD1nHbYnHnLrjNQPW9OP10OnWTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKrHT1rHbzn1bVmHTdriYYn1IWsyDOPH0VrH93nHckrHcLuWTQTEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKn1IhrHNkPhPbPHKBrAEQnE&lego_tid=90399239-a059-437c-a957-988120927f01
花园 宽敞南卧 电子锁，私密性好，拎包入住,1300元/月,4室1厅1卫,13平方米,朝西,中层(共20层),精装修,普通住宅,高山花园 (南山蛇口),合租朝西9号线,一、房源特色：,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704349990445059?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPHE1nHnYnWbkrjNznjbKTHDLnjE1PjbOrHTYPjNkPHbKnHEznjTKnHEznjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHEKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn1mYPHbYn1cdPHTYnTDvTyGGmNI-rWKxnWNknTDQTHmLP16bmynzsHIbnhDVPjuWmid6nH66sH6WnyELuh7WuyDOnkDQn1DOPjD1PWEvnj01nW0Yn1mOTHD1nHbYnHnvPjmknjmQPWNdnjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKnAw-mhF6P10VPA7BmzYYuWNksH-6uymVP1m3n1b3rjcLuyFbTEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKmHD1mHKbPH93nHRBrjF6Pk&lego_tid=0debba77-4abc-4f50-9aef-768398827ebd
永乐新村 近东角头湾厦双地铁站 采光好 家具齐全 拎包入住,2380元/月,1室0厅1卫,18平方米,朝南,高层(共8层),简单装修,普通住宅,永乐新村 (南山蛇口),整租朝南2号线,麣随时看房，精修房，整租周围绿化环境好，交通方便,"洗衣机,热水器,宽带,可做饭,空调,衣柜,床,卫生间,",https://sz.zu.anjuke.com/fangyuan/1680943121670156?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPHnznjDLPjNLPjDkP1NKTHDvrjTOPjnQnWDvP1TQPHmKnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHNKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHDvPWb3P10vnWEkrHELn9DvTyGGmNI-rWKxnWNknTDQTHw-rH93mW7bsyDQmHcVPAmQniY3nH-hsyNknAEzujD3n10kPkDQn1DOnHmvrH93nHbknWc3Pj9kTHD1nHbQPWmOrj9QnHTdn1mLnjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnjE1ujb3ujcVn1TzraYYuHuBsyDOrj0VP1TdmWPBm1ubnjNvTEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKrj7Bn1ndnW9LrAu-m1RWPk&lego_tid=043d98d2-3028-4e6b-a987-705b3bc6d056
坂田国际中心对面，金语云创旁，精装单间，交通便利，停车方便,1599元/月,1室0厅1卫,20平方米,朝南,中层(共7层),精装修,公寓,坂田国际中心 (龙岗坂田),整租朝南5号线,位置：爱加公寓位于坂田国际中心对面，周边配有超市、餐厅、酒店、银行、*写字楼等,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,可做饭,空调,衣柜,床,卫生间,智能门锁,阳台,",https://sz.zu.anjuke.com/fangyuan/1704784514113545?isauction=2&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKP1nLn1DzP1EQPWcOPHDKTHDLnjELrjEdnHEQnHndPjNKnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1EOrjTzPHcKnHmKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHNzPjbdnjNvPHbOnjEknTDvTyGGmNI-rWKxnWNknTDQTHu-ujNvrHI-syF-PhEVPjI6mBY3nyE3sH7BmHmdrjbLPjP6uEDQn1DOPHcYrHNzPjmQrjDQP1DzTHD1nHbdnWEOPHc1rHTdnj9dPjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKPyn1P10OPvmVnWD3miYYPjm3sH6-uj9Vm1EYnWuBPH--PAmkTEDYTEDKnTDYsjD3nHn_nWm3rTDQTyOdUAkKPhnzPyE3PjbQmhnQuWczmk&lego_tid=5c37797f-218a-4468-8ed8-c4426b59e4f0
赛格名苑 双周保洁 附近多条公交线路 朝南采光好,1460元/月,4室1厅1卫,14平方米,朝南,中层(共8层),精装修,普通住宅,赛格名苑 (南山蛇口),合租朝南9号线,一、房源特色：,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704350658143241?isauction=2&shangquan_id=1837&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPHE1nHnYnWbkrjNznjbKTHDLnjE1PHTvPH9QPjnzPjDKnHEznjTKnHEznjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnH0KwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn19zPjTznj9QrHbvrTDvTyGGmNI-rWKxnWNknTDQTH76P176ny7hsHTOuycVPADLPzYOuHcOsHm3uWnOnjnLmyFbrEDQn1DOPjD1rjcYnHcOrj0Qrj0zTHD1nHbYnHn3nWEkP1bdn1mQnW9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKuH9OuADvujcVnhm3PiYYn1TQsH-6uynVmWcYrycOn1EYmvRBTEDYTEDKnTDYsjD3nHD_nH91PkDQTyOdUAkKmHNdPHmzPHw-ujnLuAmYuE&lego_tid=e89da6d2-2f85-4301-9aec-b249b9344ceb
地铁旁 雷圳碧榕湾 卧室精装，好房急租，随时入住,1860元/月,2室1厅1卫,10平方米,朝西,高层(共20层),精装修,普通住宅,雷圳碧榕湾 (南山前海),合租朝西9号线,一、房屋基本概况  ,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704349761904646?isauction=2&shangquan_id=2685&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPW93nHT1PHb1njbKTHDLnjE1PjbLPWDOnjEvPjmKnHEQnjTKnHEQnjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnH9KwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn1N3rHTznWndnHnvnTDvTyGGmNI-rWKxnWNknTDQTHNkn1bkPyubsHIbuHTVPAF6nzdBujuhsHFhPHDknyEdn10LnkDQn1DOPjD1PH9OnHmkP1m1n1bzTHD1nHbYnHndrjbkPHNOnjb3rj9KTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKn1nknvDYmHbVP1KWPzYYmH0OsHb1uADVujNOPvDknWbOnhPBTEDYTEDKnTDYsjD3nHD_nWm3PEDQTyOdUAkKrj7hPvuBPjwhnjnLmWIhPk&lego_tid=3303a4a9-70c7-4a79-93da-d597a02992cb
坂田大单间 碧家公寓直租 近华为基地 天安云谷旁  押一付一,2200元/月,1室0厅1卫,30平方米,朝南,高层(共7层),精装修,公寓,中浩二路住宅小区 (龙岗坂田),整租朝南10号线,长租公寓：龤： 专业管家管理居住安全 温馨有保障麣：沿线 交通 便利，直达罗湖，福田中心区驋: 公寓位于华润商圈，周边配套设施齐全沃尔玛超市 ，华润万家 华谊电影 吃喝玩乐 无忧无虑鸺直租，无任何其他用中介费 餼：家私家电全新齐全，龤龒龒兆独立网络！閏专业管家管理！给你一个温暖舒适的家龥；美的热水器 美的空调 樱花冰箱 创维洗衣机 创维的电视 精致沙发床，实木工作台齤：公寓里超大休闲公区（租户免费使用，租户免费使用,"冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1701863700897804?isauction=2&shangquan_id=2688&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWTOrHNdPH0YPjc3nWEKTHDLnjD3PWnLnjT3rH03njEKnWTknjTKnWTknjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnHbKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrj03njNvPHNQnHE3n1nOn9DvTyGGmNI-rWKxnWNknTDQTyEYPhNOmhnQsyuWnj0VPjFbuBYOujRBsH0dmW6bnj9OmhPbrEDQn1D3P19kPHmdPWEQPHTzP1ckTHD1nH9LrjTdPWNdPWD3nHNkPjTKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKujD1PjTOnAcVPvcLPiYYmHDksH--uW0VmWbzuhckPWu-rAmOTEDYTEDKnTDYsjD3nHn_nWm3rTDQTyOdUAkKPhc3m1bLuHDvnyDOnywWuE&lego_tid=d134090b-7b75-4a10-9ef7-b92fb066e8f9
坪地高端酒店式公寓  配置齐全 拎包入住 免停车网络 可短租,1919元/月,1室0厅1卫,28平方米,东南,中层(共11层),豪华装修,公寓,嘉辉怡园 (龙岗坪地),整租东南,"	【风格】空间精致舒适，风格简约大方，全屋采用绿色环保漆材料，集聚低碳、智能科技等设计元素	【房间】户型方正实用，光线足，通风好，阳光充足；房间配备全套品牌家电，定制家具。一体式开放厨房，浴室干湿分离，内部布置精致别致，起居、工作、储物、卫浴等功能分区明了	【安全】全天麣鸺小时保安服务，安全无死角	【配套】免费车位，免费高速网络，免费专业健身房，书吧，独享户外超大草坪	【交通】M驋龤閏白石塘路口公交站台步行距离	【配套】超市：怡园生活超市，众乐福百货，天天生鲜超市，沃尔玛购物广场/美食：南粤春王府，U食代餐厅，遇见味道,重庆秦妈火锅，厨嫂当家，广味茶楼	【声明】房子直租，无中介费；照片为真实拍摄","冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1602860300377103?isauction=2&shangquan_id=11990&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPjb3PjndPjc1rHn1PH0KTHDvnjc3PWT1njT1P10QnjnKnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnWTKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQPWcOn1mvPHc1nWTkn1TLn9DvTyGGmNI-rWKxnWNknTDQTHwhuHKbryPWsywhrAmVPAnYnidBnHc1sHmLnWRWm1IWmWD3mkDQn1DvnWb1PWmdPHn3nHbQn1mkTHD1nHmzrHnvPWNzrHbQnHmkn1cKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKrynduW9OnjNVujm1nzYYnAEksy7WPhNVPjK6myu6mynzPvDzTEDYTEDKnTDYsjD3nHn_nHDOrHTKnE78IyQ_THb1njK6PH0zrH7-P1PbnWm&lego_tid=9c5f8905-d633-40d0-ac6e-40aafaac27a2
阳光带海滨城(一期) 急速维修 生活便利 宽敞南卧 有阳台采,1980元/月,4室1厅1卫,15平方米,朝南,低层(共15层),精装修,普通住宅,阳光带海滨城(一期) (南山科苑),合租朝南2/9号线,精装卧室，步行到地铁，业主直租，家具家电齐全，拎包入住，周边配套完善，出行购物都方便，好房不等人，赶快来电预约看房吧！,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704350599045127?isauction=2&shangquan_id=6100&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPW9LP1DdnjTzrHbKTHDLnjE1PHTdrHbkPjNQnW0KnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnWDKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn19kPWNYn1DdnHDkPTDvTyGGmNI-rWKxnWNknTDQTyNvPjKBuHc3sH66nvDVPjFbnBd6myRWsH9dPHn1uHmQn1mQPEDQn1DOPjD1rjTvrjDdP19YrHmkTHD1nHbYnHn3njmLPWNYPjbznHmKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKmWbOmWuhnHnVPHN1riYYPHPhsyDzPAmVm1DLrAmdrAczuycOTEDYTEDKnTDYsjD3nHD_PWDknTDQTyOdUAkKm1nQPWNQmHDvm1czn1wBnk&lego_tid=b99b6f13-5539-453f-a24f-c178f58b2eb9
前海 鼎太风华七期 全新家电，一客一锁，私密性好,1890元/月,4室1厅1卫,15平方米,朝西,低层(共11层),精装修,普通住宅,鼎太风华(七期) (南山前海),合租朝西9号线,一、房源特色：,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704349414138880?isauction=2&shangquan_id=2685&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPW93nHT1PHb1njbKTHDLnjE1PjbYnHEQn193rjTKnHEQnjTKnHEQnjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnWcKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn1EOPWTknHT3nHnYPTDvTyGGmNI-rWKxnWNknTDQTHw6ujw-PycdsHm3PjmVPAEkniYOmW-BsyRhryDdPHTkuhPbmEDQn1DOPjD1PjbvnHnOPj9OnW9kTHD1nHbYnHnYrHmkPW9QrjmQnHcKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKnvu6mWEQnycVmW9QPaYYrHcvsycvm1mVnjNvmyRWn1F-Pj9kTEDYTEDKnTDYsjD3nHD_nWm3PEDQTyOdUAkKP19knH0dmHm3mW0QnyFBPE&lego_tid=3fab411b-b814-4926-b6c6-056aec32e480
滨福世纪广场 清爽装修，拎包入住，位置安静，视线开阔,1900元/月,4室1厅1卫,13平方米,朝南,低层(共7层),精装修,普通住宅,滨福世纪广场 (南山科苑),合租朝南2/9号线,精装卧室，步行到地铁，业主直租，家具家电齐全，拎包入住，周边配套完善，出行购物都方便，好房不等人，赶快来电预约看房吧！,"冰箱,",https://sz.zu.anjuke.com/fangyuan/1704349423426571?isauction=2&shangquan_id=6100&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPWbkPW9LP1DdnjTzrHbKTHDLnjE1PjbYnWnYnWmdP1DKnHcknjTKnHcknjTKnikQnTDYTHDvnjnYn1EOrjTzPHnKnWnKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDQTEDVnEDKnHnQrHEQn1NknjTQrHczPjNLP9DvTyGGmNI-rWKxnWNknTDQTyu6uAw6nvu-sH9zm10VPjcYmBY3mHKhsywhmynzuhcOryDQnTDQn1DOPjD1PHTknWEQPHczPW93THD1nHbYnHndnjTQrHDQrjmOPjEKTEDKTEDVTEDKpZwY0Znlszq1XBOlIiO6UhGdpvN8mvqVsvu6UhIOIy78sLTQs1qh0hqVgLKzpyP-5HThIAqx0ZFGmvNqnWNknTDKnHE8nHD3sWDYna3QPWbKnTDkTEDQsjDzTgVqTHDknjnvTHDknjDvPWNKmHNzmvw-m1bVuHTQniYYuhnQsH-BP19VnyPhPjTOnWbkuAu6TEDYTEDKnTDYsjD3nHD_PWDknTDQTyOdUAkKPH7hPjNLnhPbuhmzmhcYmk&lego_tid=a52cdec9-e011-4fc1-9b78-1cf409290dfa
平湖花半里欣悦广场精装复式麣房麣厅全齐家私家电免网络拎包入住,1980元/月,1室1厅1卫,39平方米,朝南,中层(共19层),精装修,公寓,花半里欣悦广场 (龙岗平湖),整租朝南10号线,"小区门口就有公交站，线路多，通达全市。地铁已经开通，到时交通更加便利。附近就是驋龥龤万平米建筑面积的超大商圈---华南城！万达广场已签约入驻华南城！生活娱乐配套更加齐全。餐饮方面有麦当劳、肯德基、真功夫，星巴克、上岛咖啡，日韩料理，酒吧，金威啤酒广场，以及全国各地菜系餐厅。休闲娱乐方面有欢乐迪KTV,时代金球影院。购物方面有奥特莱斯国际品牌折扣商城，商品琳琅满目，应有尽有！国有四大银行，中国电信，中国移动，也已入驻。","冰箱,洗衣机,热水器,宽带,沙发,油烟机,燃气灶,可做饭,电视,空调,衣柜,床,卫生间,智能门锁,阳台,暖气,",https://sz.zu.anjuke.com/fangyuan/1688901990622210?isauction=2&shangquan_id=11987&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYQrHnvuhE3uidWn16BsHEzmHTVmW9kPaY3rynOnyRBujNdPyEKPHn3PjE1rjb3nHEdPj9KTHDvrj9OnjDOrHTvnWcznHTKrjEknTD3PjTkTHD_nHTKPTDQPWT1PjnYrH9knWN1THcYTNujsRKjsN72izLMGO4hBstVOlvUlmaFOmBgl2AClpAdTHDKnEDKsHDKTHD1nHbYPH0OrH9On1n3PWEYPjbKP97Jpy7ZuHCkg1cdnjTKnEDLrjmYmW0kPaYYPyFWsHEvrHmVmH7hPBdWrAnvmv7WPHK6nHnKnHnQrHEdP1bOrHbOrHcQP1mvPTDQn1DOPjNLrHbOrHnznHTYP1TYTEDKTEDKsEDKTy6YIZK1rBtf0LC8XMN8myOJIyV-shPfUiqhmyOMXgR6UBqknit4uMFfURqk0h-WuHYkFMwfgLKzpyP-5HcdnjTKTHDYsWDQra3QPjT8nHmOTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmdTycQrH6WnH-6sHnOm1TVPj7BnBdBm1FhsHIBryc3P16-uWmLuTDKPTDKTHTKPakQrjD1sjDQrH9LTHDKUMR_UTD1njmknvEzm1c3nHwbnARB&lego_tid=b198c19a-39c0-41b2-bc2f-7b9b878ef67d
